date,ticker,open,high,low,close,volume
2025-08-04,BBCA,8325.000,8350.000,8275.000,8275.000,49054500
2025-08-05,BBCA,8350.000,8450.000,8325.000,8425.000,69475900
2025-08-06,BBCA,8425.000,8425.000,8300.000,8300.000,56325400
2025-08-07,BBCA,8325.000,8350.000,8300.000,8300.000,43621300
2025-08-08,BBCA,8325.000,8400.000,8300.000,8300.000,68378700
2025-08-11,BBCA,8500.000,8550.000,8425.000,8550.000,128561300
2025-08-12,BBCA,8625.000,8875.000,8575.000,8850.000,171015700
2025-08-13,BBCA,8975.000,8975.000,8725.000,8925.000,129083900
2025-08-14,BBCA,8925.000,8950.000,8750.000,8775.000,122930900
2025-08-15,BBCA,8825.000,8850.000,8700.000,8700.000,68754200
2025-08-19,BBCA,8600.000,8600.000,8450.000,8500.000,128591700
2025-08-20,BBCA,8375.000,8600.000,8350.000,8525.000,202260200
2025-08-21,BBCA,8550.000,8575.000,8500.000,8550.000,69470200
2025-08-22,BBCA,8575.000,8575.000,8450.000,8450.000,66394100
2025-08-25,BBCA,8525.000,8550.000,8475.000,8475.000,64052700
2025-08-26,BBCA,8450.000,8475.000,8250.000,8250.000,326794200
2025-08-27,BBCA,8250.000,8350.000,8200.000,8300.000,111915700
2025-08-28,BBCA,8350.000,8375.000,8275.000,8325.000,81281400
2025-08-29,BBCA,8250.000,8275.000,8075.000,8075.000,236499300
2025-09-01,BBCA,7650.000,8050.000,7600.000,8000.000,421127500
2025-09-02,BBCA,8000.000,8175.000,8000.000,8000.000,155531500
2025-09-03,BBCA,7900.000,8000.000,7900.000,7975.000,212372700
2025-09-04,BBCA,7975.000,8000.000,7925.000,8000.000,103534800
2025-09-08,BBCA,8025.000,8025.000,7700.000,7700.000,321191900
2025-09-09,BBCA,7625.000,7725.000,7475.000,7525.000,595368700
2025-09-10,BBCA,7550.000,7800.000,7550.000,7800.000,247204000
2025-09-11,BBCA,7900.000,7975.000,7850.000,7850.000,235173400
2025-09-12,BBCA,7975.000,7975.000,7850.000,7925.000,156084700
2025-09-15,BBCA,8000.000,8100.000,7975.000,8025.000,142567700
2025-09-16,BBCA,8050.000,8075.000,7900.000,7925.000,129312900
2025-09-17,BBCA,7850.000,7900.000,7800.000,7850.000,183725900
2025-09-18,BBCA,7850.000,7900.000,7650.000,7700.000,275378700
2025-09-19,BBCA,7650.000,7825.000,7650.000,7800.000,149025300
2025-09-22,BBCA,7800.000,7825.000,7725.000,7725.000,92588800
2025-09-23,BBCA,7750.000,7900.000,7750.000,7875.000,102606200
2025-09-24,BBCA,7950.000,7950.000,7725.000,7775.000,150428400
2025-09-25,BBCA,7725.000,7775.000,7700.000,7700.000,147986600
2025-09-26,BBCA,7575.000,7700.000,7575.000,7625.000,121657700
2025-09-29,BBCA,7750.000,7800.000,7700.000,7775.000,116454700
2025-09-30,BBCA,7700.000,7775.000,7625.000,7625.000,170666700
2025-10-01,BBCA,7600.000,7675.000,7500.000,7500.000,202433400
2025-10-02,BBCA,7500.000,7600.000,7500.000,7500.000,126952400
2025-10-03,BBCA,7525.000,7550.000,7500.000,7525.000,76787500
2025-01-02,BBRI,4100.000,4220.000,4090.000,4210.000,181361700
2025-01-03,BBRI,4220.000,4240.000,4150.000,4150.000,134632300
